latitude,longitude,depth,temperature,salinity
53.8506151,-9.7771202,29.03709307,9.295517919,34.09453339
53.8506151,-9.7771202,29.33488499,9.295114787,34.0949231
53.8506151,-9.7771202,29.63267667,9.296146579,34.09373477
53.8506151,-9.7771202,29.93046839,9.296422137,34.09181642
53.8506151,-9.7771202,30.22825978,9.296252405,34.09369129
53.8506151,-9.7771202,30.45298714,9.297476802,34.09642155
53.8499957,-9.8654135,0.148968378,9.340190887,33.66141437
53.8499957,-9.8654135,0.446891443,9.362961229,33.63338196
53.8499957,-9.8654135,0.744822535,9.355140029,33.64115405
53.8499957,-9.8654135,1.042752589,9.357012595,33.63831594
53.8499957,-9.8654135,1.340683529,9.360654065,33.63149042
53.8499957,-9.8654135,1.638614848,9.361854394,33.63299822
53.8499957,-9.8654135,1.936543604,9.352606595,33.64940648
53.8499957,-9.8654135,2.234469329,9.3489605,33.65403684
53.8499957,-9.8654135,2.532393617,9.338070364,33.65606313
53.8499957,-9.8654135,2.830317058,9.327072188,33.65399107
53.8499957,-9.8654135,3.128238018,9.30733785,33.6685836
53.8499957,-9.8654135,3.426155595,9.2928484,33.67374058
53.8499957,-9.8654135,3.724070521,9.28454393,33.6842409
53.8499957,-9.8654135,4.02198202,9.275383867,33.69732967
53.8499957,-9.8654135,4.319889702,9.273586394,33.7126155
53.8499957,-9.8654135,4.617793425,9.268138154,33.7277165
53.8499957,-9.8654135,4.915693186,9.268005408,33.74335865
53.8499957,-9.8654135,5.213589754,9.264000172,33.75199928
53.8499957,-9.8654135,5.511484217,9.257964681,33.75683899
53.8499957,-9.8654135,5.809375922,9.251106821,33.77064545
53.8499957,-9.8654135,6.107265884,9.24718631,33.76698913
53.8499957,-9.8654135,6.405155293,9.244613531,33.77118439
53.8499957,-9.8654135,6.703043609,9.23945447,33.77203566
53.8499957,-9.8654135,7.00093001,9.234740497,33.78303042
53.8499957,-9.8654135,7.2988142,9.230821102,33.78674672
53.8499957,-9.8654135,7.596697192,9.22927047,33.78945735
53.8499957,-9.8654135,7.894578318,9.227565054,33.79953531
53.8499957,-9.8654135,8.192457695,9.226539839,33.80130111
53.8499957,-9.8654135,8.490336327,9.223519071,33.802275
53.8499957,-9.8654135,8.788213812,9.22131438,33.80733488
53.8499957,-9.8654135,9.086090307,9.219210765,33.80713341
53.8499957,-9.8654135,9.383965333,9.216221922,33.81622354
53.8499957,-9.8654135,9.681838427,9.216077002,33.82051921
53.8499957,-9.8654135,9.979709953,9.213825317,33.82655571
53.8499957,-9.8654135,10.27758034,9.215250494,33.82735458
53.8499957,-9.8654135,10.57544928,9.215626556,33.83676574
53.8499957,-9.8654135,10.87331636,9.21074792,33.83978288
53.8499957,-9.8654135,11.171182,9.210060988,33.84528215
53.8499957,-9.8654135,11.46904584,9.210051135,33.852502
53.8499957,-9.8654135,11.76690761,9.210443974,33.86064439
53.8499957,-9.8654135,12.06476734,9.207714043,33.86697288
53.8499957,-9.8654135,12.36262332,9.20786662,33.89019227
53.8499957,-9.8654135,12.66047555,9.209831753,33.8973709
53.8499957,-9.8654135,12.95832717,9.215110276,33.89412415
53.8499957,-9.8654135,13.25617861,9.213350733,33.8966561
53.8499957,-9.8654135,13.55402914,9.2115288,33.89847864
53.8499957,-9.8654135,13.85187898,9.210261186,33.89904704
53.8499957,-9.8654135,14.14972808,9.209987466,33.9017008
53.8499957,-9.8654135,14.44757661,9.211415657,33.90135442
53.8499957,-9.8654135,14.74542477,9.21233065,33.90241597
53.8499957,-9.8654135,15.04327214,9.214251523,33.90589886
53.8499957,-9.8654135,15.34111854,9.21690969,33.90901105
53.8499957,-9.8654135,15.63896518,9.22061237,33.90195471
53.8499957,-9.8654135,15.93681245,9.219969122,33.90118022
53.8499957,-9.8654135,16.23465899,9.219133803,33.90511785
53.8499957,-9.8654135,16.53250462,9.218823139,33.90597583
53.8499957,-9.8654135,16.83034861,9.221430813,33.9170076
53.8499957,-9.8654135,17.12818873,9.223150983,33.93802077
53.8499957,-9.8654135,17.42602566,9.227242024,33.94324874
53.8499957,-9.8654135,17.72386162,9.229548056,33.94496433
53.8499957,-9.8654135,18.02169859,9.23302922,33.9324954
53.8499957,-9.8654135,18.31953532,9.236593584,33.94559631
53.8499957,-9.8654135,18.6173696,9.240127714,33.95252838
53.8499957,-9.8654135,18.91520227,9.242190889,33.95789792
53.8499957,-9.8654135,19.21303286,9.239732188,33.96789694
53.8499957,-9.8654135,19.51086358,9.240959159,33.95341011
53.8499957,-9.8654135,19.80869436,9.244110894,33.96533019
53.8499957,-9.8654135,20.10652637,9.246507168,33.94071734
53.8499957,-9.8654135,20.4043562,9.249448846,33.98269469
53.8499957,-9.8654135,20.70217981,9.251948957,33.99360259
53.8499957,-9.8654135,21.00000107,9.254505801,34.00145178
53.8499957,-9.8654135,21.29781986,9.258166664,34.01367887
53.8499957,-9.8654135,21.59563617,9.260016981,34.02151842
53.8499957,-9.8654135,21.89345135,9.267344316,34.02251615
53.8499957,-9.8654135,22.19126444,9.262471814,34.0374172
53.8499957,-9.8654135,22.48907483,9.256827938,34.04120379
53.8499957,-9.8654135,22.78688327,9.25337593,34.04966426
53.8499957,-9.8654135,23.08468921,9.251987524,34.05924669
53.8499957,-9.8654135,23.38249102,9.256711269,34.08379357
53.8499957,-9.8654135,23.68028853,9.265039212,34.09690139
53.8499957,-9.8654135,23.97808098,9.274429051,34.12907601
53.8499957,-9.8654135,24.27586784,9.281765938,34.14652959
53.8499957,-9.8654135,24.68170491,9.298365119,34.14507545
53.800335,-9.866966,0.148930282,9.370054465,34.00725986
53.800335,-9.866966,0.446774406,9.371778661,34.00899025
53.800335,-9.866966,0.744622985,9.369495041,34.01197238
53.800335,-9.866966,1.042471085,9.370027243,34.00985926
53.800335,-9.866966,1.340318531,9.36428739,34.01367286
53.800335,-9.866966,1.638163706,9.354903763,34.02372922
53.800335,-9.866966,1.936006566,9.345636362,34.02720769
53.800335,-9.866966,2.233847744,9.339200551,34.03230381
53.800335,-9.866966,2.531687657,9.335425532,34.03323788
53.800335,-9.866966,2.829525778,9.3307086,34.04335501
53.800335,-9.866966,3.127363213,9.326660565,34.03447032
53.800335,-9.866966,3.425200625,9.322428286,34.03884816
53.800335,-9.866966,3.723037148,9.321571469,34.03826544
53.800335,-9.866966,4.020873207,9.320219725,34.03948985
53.800335,-9.866966,4.318708336,9.317717475,34.04267264
53.800335,-9.866966,4.616542842,9.31661027,34.04124477
53.800335,-9.866966,4.91437699,9.315586546,34.04239557
53.800335,-9.866966,5.212210898,9.314716936,34.03997862
53.800335,-9.866966,5.510045346,9.313913043,34.03430338
53.800335,-9.866966,5.807879362,9.308669468,34.03954544
53.800335,-9.866966,6.105712274,9.306683517,34.03954459
53.800335,-9.866966,6.403545181,9.306604451,34.03617185
53.800335,-9.866966,6.701377835,9.304181024,34.03827028
53.800335,-9.866966,6.999209554,9.298786345,34.03980462
53.800335,-9.866966,7.297040983,9.296434879,34.03623489
53.800335,-9.866966,7.594872059,9.293808808,34.0388835
53.800335,-9.866966,7.892702516,9.290907236,34.03756847
53.800335,-9.866966,8.190532075,9.283827809,34.04173489
53.800335,-9.866966,8.488360513,9.280740112,34.04235571
53.800335,-9.866966,8.786187834,9.278927021,34.04757563
53.800335,-9.866966,9.08401458,9.278492451,34.04396794
53.800335,-9.866966,9.38184132,9.276865169,34.04421725
53.800335,-9.866966,9.679668055,9.277610779,34.04083833
53.800335,-9.866966,9.977494344,9.277555892,34.04530879
53.800335,-9.866966,10.27531988,9.276807429,34.04428029
53.800335,-9.866966,10.57314558,9.27667485,34.04075986
53.800335,-9.866966,10.87097123,9.275552979,34.04145496
53.800335,-9.866966,11.16879621,9.275481701,34.04344331
53.800335,-9.866966,11.46662003,9.273027006,34.04813586
53.800335,-9.866966,11.76444369,9.271646262,34.04100682
53.800335,-9.866966,12.06226755,9.272271111,34.04330821
53.800335,-9.866966,12.36009031,9.271103751,34.04763107
53.800335,-9.866966,12.65791249,9.273365185,34.04555464
53.800335,-9.866966,12.95573493,9.273939175,34.04304047
53.800335,-9.866966,13.25355696,9.271666977,34.04577667
53.800335,-9.866966,13.55137859,9.272301197,34.04325587
53.800335,-9.866966,13.84919998,9.270824213,34.04474252
53.800335,-9.866966,14.14702061,9.270947689,34.04664619
53.800335,-9.866966,14.44484009,9.271143306,34.05197341
53.800335,-9.866966,14.74265938,9.277067072,34.0465957
53.800335,-9.866966,15.0404784,9.275900013,34.05233701
53.800335,-9.866966,15.33829637,9.275534906,34.05258666
53.800335,-9.866966,15.63611385,9.27925502,34.0543586
53.800335,-9.866966,15.93392915,9.281222312,34.06993503
